Vgs,Vds,Ids
0.8,0.0,0.0
0.8,0.05,0.026717626464280456
0.8,0.1,0.04311793479961842
0.8,0.15000000000000002,0.04916987500601388
0.8,0.2,0.04925118833386718
0.8,0.25,0.049300243302327205
0.8,0.30000000000000004,0.04934929827078724
0.8,0.35000000000000003,0.04939835323924726
0.8,0.4,0.04944740820770729
0.8,0.45,0.04949646317616731
0.8,0.5,0.04954551814462734
0.8,0.55,0.04959457311308736
0.8,0.6000000000000001,0.049643628081547396
0.8,0.65,0.04969268305000742
0.8,0.7000000000000001,0.04974173801846746
0.8,0.75,0.04979079298692748
0.8,0.8,0.049839847955387505
0.8,0.8500000000000001,0.049888902923847525
0.8,0.9,0.04993795789230756
0.8,0.9500000000000001,0.04998701286076758
0.8,1.0,0.050036067829227614
0.8,1.05,0.05008512279768764
0.8,1.1,0.05013417776614767
0.8,1.1500000000000001,0.050183232734607695
0.8,1.2000000000000002,0.05023228770306772
0.8,1.25,0.05028134267152774
0.8,1.3,0.05033039763998778
0.8,1.35,0.0503794526084478
0.8,1.4000000000000001,0.05042850757690783
0.8,1.4500000000000002,0.05047756254536785
0.8,1.5,0.050526617513827886
0.8,1.55,0.05057567248228791
0.8,1.6,0.05062472745074794
0.8,1.6500000000000001,0.05067378241920796
0.8,1.7000000000000002,0.050722837387667995
0.8,1.75,0.050771892356128015
0.8,1.8,0.05082094732458805
0.8,1.85,0.05087000229304807
0.8,1.9000000000000001,0.050919057261508104
0.8,1.9500000000000002,0.05096811222996813
0.8,2.0,0.05101716719842816
0.8,2.0500000000000003,0.05106622216688818
0.8,2.1,0.05111527713534821
0.8,2.15,0.05116433210380823
0.8,2.2,0.05121338707226827
0.8,2.25,0.05126244204072829
0.8,2.3000000000000003,0.05131149700918832
0.8,2.35,0.05136055197764834
0.8,2.4000000000000004,0.05140960694610837
0.8,2.45,0.051458661914568396
0.8,2.5,0.05150771688302843
0.8,2.5500000000000003,0.05155677185148845
0.8,2.6,0.051605826819948485
0.8,2.6500000000000004,0.051654881788408505
0.8,2.7,0.05170393675686854
0.8,2.75,0.05175299172532856
0.8,2.8000000000000003,0.051802046693788587
0.8,2.85,0.051851101662248614
0.8,2.9000000000000004,0.05190015663070865
0.8,2.95,0.05194921159916867
0.8,3.0,0.0519982665676287
0.8,3.0500000000000003,0.05204732153608872
0.8,3.1,0.05209637650454876
0.8,3.1500000000000004,0.05214543147300877
0.8,3.2,0.052194486441468804
0.8,3.25,0.05224354140992883
0.8,3.3000000000000003,0.05229259637838886
0.8,3.35,0.052341651346848886
0.8,3.4000000000000004,0.05239070631530892
0.8,3.45,0.05243976128376894
0.8,3.5,0.052488816252228974
0.8,3.5500000000000003,0.05253787122068899
0.8,3.6,0.05258692618914902
0.8,3.6500000000000004,0.05263598115760904
0.8,3.7,0.052685036126069076
0.8,3.75,0.052734091094529104
0.8,3.8000000000000003,0.05278314606298914
0.8,3.85,0.05283220103144916
0.8,3.9000000000000004,0.05288125599990919
0.8,3.95,0.052930310968369206
0.8,4.0,0.05297936593682924
0.8,4.05,0.05302842090528926
0.8,4.1000000000000005,0.053077475873749294
