I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,1.4778491,2,0.20018098
1.65,1.4077857,1.65,0.21612704
1.3,1.3265601,1.3,0.24691752
0.95,1.2349435,0.95,0.27548647
0.6,1.1337196,0.6,0.30201621
0.25,1.0235321,0.25,0.32571584
-0.1,0.90571852,-0.1,0.34314863
-0.45,0.78332807,-0.45,0.34977984
-0.8,0.66087263,-0.8,0.3438602
-1.15,0.54262593,-1.15,0.3272238
-1.5,0.43181597,-1.5,0.30272659
-1.85,0.33071732,-1.85,0.27350344
-2.2,0.24036356,-2.2,0.24172701
-2.55,0.16150841,-2.55,0.20625956
-2.9,0.09598187,-2.9,0.16102008
-3.25,0.04879436,-3.25,0.1005947
-3.6,0.025565576,-3.6,0.044777447
-3.95,0.017450147,-3.95,0.016929895
-4.3,0.01371465,-4.3,0.0087696883
-4.65,0.011311365,-4.65,0.0060309455
-5,0.0094929879,-5,0.0051953646

