I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,1.6542584,2,0.21627695
1.65,1.5785615,1.65,0.23450734
1.3,1.4901033,1.3,0.26647185
0.95,1.3920312,0.95,0.29278238
0.6,1.2851556,0.6,0.31666051
0.25,1.1703688,0.25,0.3379376
-0.1,1.0485993,-0.1,0.35512567
-0.45,0.92178083,-0.45,0.36455872
-0.8,0.79340816,-0.8,0.3634237
-1.15,0.66738424,-1.15,0.35252343
-1.5,0.54664176,-1.5,0.33470112
-1.85,0.43309345,-1.85,0.31125576
-2.2,0.32876273,-2.2,0.28180796
-2.55,0.23582788,-2.55,0.24700836
-2.9,0.15585688,-2.9,0.20774028
-3.25,0.090409687,-3.25,0.15922575
-3.6,0.044398853,-3.6,0.09547296
-3.95,0.023578615,-3.95,0.040196107
-4.3,0.016261579,-4.3,0.015330179
-4.65,0.01284749,-4.65,0.0079916355
-5,0.010667434,-5,0.0062287312

