I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,1.2468571,2,-0.11876382
1.93,1.2551706,1.93,-0.094568985
1.86,1.2600968,1.86,-0.035561978
1.7511111,1.2601784,1.7511111,0.025308312
1.6301235,1.2539637,1.6301235,0.061762365
1.5998765,1.2517811,1.5998765,0.075542603
1.5696296,1.2493938,1.5696296,0.082843147
1.5225789,1.2453118,1.5225789,0.090564872
1.4859838,1.2418583,1.4859838,0.098043727
1.4290582,1.236068,1.4290582,0.1046155
1.4005954,1.2330078,1.4005954,0.1090013
1.3784577,1.2305618,1.3784577,0.1115112
1.3624693,1.2287626,1.3624693,0.11350247
1.339375,1.226119,1.339375,0.11536863
1.3239788,1.2243289,1.3239788,0.11709739
1.3017399,1.2217063,1.3017399,0.11903183
1.2720879,1.2181441,1.2720879,0.12136866
1.242436,1.2145087,1.242436,0.12425494
1.1930161,1.2082863,1.1930161,0.12853183
1.1216318,1.1989238,1.1216318,0.13519437
1.0185211,1.1845675,1.0185211,0.1452809
0.86958344,1.1620289,0.86958344,0.15947623
0.67099992,1.1287417,0.67099992,0.17768969
0.40622189,1.0790279,0.40622189,0.19968385
0.082604301,1.0105467,0.082604301,0.22487156
-0.31292831,0.91635792,-0.31292831,0.25073982
-0.79635706,0.78904791,-0.79635706,0.27030662
-1.3872144,0.62522371,-1.3872144,0.27596164
-2.0872144,0.43296308,-2.0872144,0.2634904
-2.7872144,0.25633715,-2.7872144,0.22779641
-3.4872144,0.1140481,-3.4872144,0.16201306
-4.1872144,0.029518871,-4.1872144,0.071883119
-4.8872144,0.013411732,-4.8872144,0.015469449
-5,0.012517489,-5,0.0079286989

