I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,3.0207988,2,0.24909509
1.65,2.9336155,1.65,0.25832225
1.3,2.8399732,1.3,0.27767166
0.95,2.7392454,0.95,0.30000616
0.6,2.6299689,0.6,0.32708439
0.25,2.5102863,0.25,0.35846319
-0.1,2.3790447,-0.1,0.38986744
-0.45,2.2373791,-0.45,0.41454869
-0.8,2.0888606,-0.8,0.42827788
-1.15,1.9375846,-1.15,0.43212349
-1.5,1.7863742,-1.5,0.42984621
-1.85,1.6366922,-1.85,0.42386294
-2.2,1.4896701,-2.2,0.41372282
-2.55,1.3470863,-2.55,0.39843008
-2.9,1.2107691,-2.9,0.38125311
-3.25,1.0802091,-3.25,0.36719243
-3.6,0.95373436,-3.6,0.35635651
-3.95,0.83075951,-3.95,0.34584991
-4.3,0.71163943,-4.3,0.33372597
-4.65,0.59715134,-4.65,0.31927947
-5,0.4881438,-5,0.31145011

