I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,2.208912,2,0.14980207
1.65,2.1564812,1.65,0.15547966
1.3,2.1000762,1.3,0.16879158
0.95,2.0383271,0.95,0.18583483
0.6,1.9699918,0.6,0.20651548
0.25,1.8937663,0.25,0.22927837
-0.1,1.809497,-0.1,0.25136383
-0.45,1.7178116,-0.45,0.27085086
-0.8,1.6199014,-0.8,0.28837673
-1.15,1.5159479,-1.15,0.30594886
-1.5,1.4057372,-1.5,0.32331019
-1.85,1.2896308,-1.85,0.33806039
-2.2,1.1690949,-2.2,0.34758537
-2.55,1.046321,-2.55,0.35089121
-2.9,0.92347103,-2.9,0.3485521
-3.25,0.80233455,-3.25,0.34343422
-3.6,0.68306707,-3.6,0.32746146
-3.95,0.57311152,-3.95,0.28268435
-4.3,0.48518803,-4.3,0.25373014
-4.65,0.39550043,-4.65,0.25706674
-5,0.30524131,-5,0.25788318

