I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,1.1418889,2,0.18199725
1.65,1.0781898,1.65,0.20311229
1.3,0.99971027,1.3,0.23756789
0.95,0.91189231,0.95,0.26071813
0.6,0.81720758,0.6,0.27837729
0.25,0.71702821,0.25,0.29242113
-0.1,0.61251279,-0.1,0.30236096
-0.45,0.50537554,-0.45,0.30561226
-0.8,0.3985842,-0.8,0.29864232
-1.15,0.29632591,-1.15,0.27902618
-1.5,0.20326587,-1.5,0.24696793
-1.85,0.12344836,-1.85,0.20334261
-2.2,0.060926045,-2.2,0.13550286
-2.55,0.028596359,-2.55,0.061064639
-2.9,0.018180798,-2.9,0.020808191
-3.25,0.014030625,-3.25,0.0095348202
-3.6,0.011506424,-3.6,0.0062875898
-3.95,0.0096293123,-3.95,0.0049008385
-4.3,0.0080758369,-4.3,0.0040510001
-4.65,0.0067936122,-4.65,0.0033908442
-5,0.0057022459,-5,0.0031181894

