I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,2.6062279,2,0.17787286
1.65,2.5439724,1.65,0.18853353
1.3,2.4742544,1.3,0.2105484
0.95,2.3965885,0.95,0.23158702
0.6,2.3121435,0.6,0.24916053
0.25,2.2221762,0.25,0.26517124
-0.1,2.1265237,-0.1,0.28211963
-0.45,2.0246924,-0.45,0.30004997
-0.8,1.9164887,-0.8,0.31926163
-1.15,1.8012093,-1.15,0.33936045
-1.5,1.6789364,-1.5,0.35705971
-1.85,1.5512675,-1.85,0.36863716
-2.2,1.4208904,-2.2,0.37314361
-2.55,1.290067,-2.55,0.37225054
-2.9,1.160315,-2.9,0.36778448
-3.25,1.0326178,-3.25,0.36098082
-3.6,0.90762841,-3.6,0.35259591
-3.95,0.78580069,-3.95,0.34271778
-4.3,0.66772596,-4.3,0.32978719
-4.65,0.55494965,-4.65,0.31109829
-5,0.44995716,-5,0.29997856

