I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,1.4953337,2,0.22942016
1.65,1.4150366,1.65,0.24687547
1.3,1.3225209,1.3,0.2751611
0.95,1.2224239,0.95,0.29433373
0.6,1.1164873,0.6,0.30916494
0.25,1.0060084,0.25,0.32069573
-0.1,0.89200025,-0.1,0.32950159
-0.45,0.7753573,-0.45,0.33553532
-0.8,0.65712552,-0.8,0.33774803
-1.15,0.53893367,-1.15,0.33365778
-1.5,0.42356507,-1.5,0.31990186
-1.85,0.31500238,-1.85,0.29450632
-2.2,0.21741065,-2.2,0.25861223
-2.55,0.13397382,-2.55,0.21378744
-2.9,0.067759445,-2.9,0.14877807
-3.25,0.029829164,-3.25,0.0708528
-3.6,0.018162485,-3.6,0.022759702
-3.95,0.013897373,-3.95,0.0096839097
-4.3,0.011383748,-4.3,0.0062446752
-4.65,0.0095261001,-4.65,0.0048488283
-5,0.0079895681,-5,0.0043900913

