I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,3.0328041,2,0.18637646
1.93,3.0197578,1.93,0.18907544
1.8522222,3.004842,1.8522222,0.19576055
1.7225926,2.9789489,1.7225926,0.20672236
1.5065432,2.9327796,1.5065432,0.22483495
1.1704664,2.8534749,1.1704664,0.25048739
0.6850221,2.7248307,0.6850221,0.28199115
0.091701299,2.5474401,0.091701299,0.31927936
-0.6082987,2.3097345,-0.6082987,0.35488566
-1.3082987,2.0506001,-1.3082987,0.37858637
-2.0082987,1.7797136,-2.0082987,0.38803376
-2.7082987,1.5073529,-2.7082987,0.38472043
-3.4082987,1.241105,-3.4082987,0.37359637
-4.1082987,0.98431794,-4.1082987,0.3580916
-4.8082987,0.73977676,-4.8082987,0.34248169
-5,0.67543819,-5,0.33561884

