I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,1.8894632,2,0.12844277
1.65,1.8445082,1.65,0.15201059
1.3,1.7830558,1.3,0.1942258
0.95,1.7085501,0.95,0.2255813
0.6,1.6251488,0.6,0.25137616
0.25,1.5325868,0.25,0.27832858
-0.1,1.4303188,-0.1,0.30367631
-0.45,1.3200134,-0.45,0.32161516
-0.8,1.2051882,-0.8,0.32980123
-1.15,1.0891525,-1.15,0.33042866
-1.5,0.97388817,-1.5,0.32698766
-1.85,0.86026119,-1.85,0.32118058
-2.2,0.74906176,-2.2,0.31212927
-2.55,0.6417707,-2.55,0.2981882
-2.9,0.54033002,-2.9,0.28108075
-3.25,0.44501418,-3.25,0.2647439
-3.6,0.35500929,-3.6,0.2491711
-3.95,0.27059441,-3.95,0.23117087
-4.3,0.19318968,-4.3,0.20795693
-4.65,0.12502455,-4.65,0.17711387
-5,0.069209968,-5,0.15947024

