I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,2.1202002,2,0.075239138
1.65,2.0938666,1.65,0.081709024
1.3,2.0630039,1.3,0.093118602
0.95,2.0286835,0.95,0.10718522
0.6,1.9879743,0.6,0.13162248
0.25,1.9365478,0.25,0.16784551
-0.1,1.8704824,-0.1,0.20737651
-0.45,1.7913842,-0.45,0.23528405
-0.8,1.7057836,-0.8,0.24978334
-1.15,1.6165359,-1.15,0.26322561
-1.5,1.5215257,-1.5,0.27978135
-1.85,1.420689,-1.85,0.29280136
-2.2,1.3165647,-2.2,0.29927506
-2.55,1.2111964,-2.55,0.30131336
-2.9,1.1056454,-2.9,0.30076199
-3.25,1.000663,-3.25,0.29830799
-3.6,0.89682976,-3.6,0.29474415
-3.95,0.79434212,-3.95,0.2907212
-4.3,0.69332492,-4.3,0.28611191
-4.65,0.59406378,-4.65,0.27964688
-5,0.49757211,-5,0.2756905

