I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,1.4090262,2,0.036994162
1.65,1.3960783,1.65,0.085041428
1.3,1.3494972,1.3,0.14964811
0.95,1.2913246,0.95,0.18268731
0.6,1.2216161,0.6,0.21336431
0.25,1.1419696,0.25,0.24208795
-0.1,1.0521546,-0.1,0.26871055
-0.45,0.9538722,-0.45,0.28525074
-0.8,0.85247904,-0.8,0.28802332
-1.15,0.75225587,-1.15,0.28373453
-1.5,0.65386487,-1.5,0.27836055
-1.85,0.55740349,-1.85,0.27204519
-2.2,0.46343324,-2.2,0.26369481
-2.55,0.37281712,-2.55,0.25216896
-2.9,0.28691497,-2.9,0.2359351
-3.25,0.20766255,-3.25,0.21329331
-3.6,0.13760965,-3.6,0.18249879
-3.95,0.079913399,-3.95,0.14177344
-4.3,0.038368241,-4.3,0.088728039
-4.65,0.017803772,-4.65,0.037479772
-5,0.0121324,-5,0.016203919

