I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,2.2117074,2,0.24663586
1.93,2.1944429,1.93,0.25236561
1.86,2.1763762,1.86,0.26464379
1.7433333,2.1447371,1.7433333,0.27927769
1.5618519,2.092586,1.5618519,0.2963686
1.2997119,2.0125353,1.2997119,0.31482755
0.95019204,1.8991926,0.95019204,0.33370121
0.48416552,1.739289,0.48416552,0.35318694
-0.13720317,1.5135752,-0.13720317,0.37459175
-0.83720317,1.2434235,-0.83720317,0.39250748
-1.5372032,0.96406474,-1.5372032,0.39046457
-2.2372032,0.69677314,-2.2372032,0.36311753
-2.9372032,0.45570019,-2.9372032,0.32039595
-3.6372032,0.24821881,-3.6372032,0.26114572
-4.3372032,0.090096188,-4.3372032,0.16307304
-5,0.02364642,-5,0.10025662

