I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,2.4512162,2,0.078685451
1.65,2.4236763,1.65,0.083432239
1.3,2.3928136,1.3,0.095919443
0.95,2.3565326,0.95,0.11684129
0.6,2.3110247,0.6,0.15034574
0.25,2.2512906,0.25,0.19323888
-0.1,2.1757575,-0.1,0.2326165
-0.45,2.0884591,-0.45,0.26220022
-0.8,1.9922173,-0.8,0.28761475
-1.15,1.8871288,-1.15,0.31091302
-1.5,1.7745782,-1.5,0.32624336
-1.85,1.6587584,-1.85,0.32823095
-2.2,1.5448165,-2.2,0.31985363
-2.55,1.4348609,-2.55,0.31090746
-2.9,1.3271813,-2.9,0.30638138
-3.25,1.2203939,-3.25,0.30423944
-3.6,1.1142137,-3.6,0.30212576
-3.95,1.0089059,-3.95,0.29906493
-4.3,0.90486827,-4.3,0.2952538
-4.65,0.8022282,-4.65,0.29113712
-5,0.70107228,-5,0.28901692

