I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,2.1479092,2,0.23249077
1.65,2.0665374,1.65,0.24344817
1.3,1.9774955,1.3,0.26627539
0.95,1.8801446,0.95,0.29217383
0.6,1.7729738,0.6,0.32191863
0.25,1.6548016,0.25,0.35313616
-0.1,1.5257785,-0.1,0.37984247
-0.45,1.3889119,-0.45,0.39536832
-0.8,1.2490207,-0.8,0.39801428
-1.15,1.1103019,-1.15,0.39039088
-1.5,0.97574704,-1.5,0.37516206
-1.85,0.84768844,-1.85,0.35590716
-2.2,0.72661202,-2.2,0.3373765
-2.55,0.61152489,-2.55,0.32068455
-2.9,0.50213284,-2.9,0.30346988
-3.25,0.39909598,-3.25,0.28361569
-3.6,0.30360185,-3.6,0.25977233
-3.95,0.21725535,-3.95,0.23054407
-4.3,0.14222101,-4.3,0.19419838
-4.65,0.081316481,-4.65,0.14671161
-5,0.039522881,-5,0.11941029

