I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,2.7405117,2,0.26924996
1.65,2.6462742,1.65,0.28398943
1.3,2.5417191,1.3,0.31162107
0.95,2.4281395,0.95,0.33634538
0.6,2.3062773,0.6,0.3587483
0.25,2.1770156,0.25,0.37885644
-0.1,2.0410778,-0.1,0.39716936
-0.45,1.8989971,-0.45,0.41299112
-0.8,1.751984,-0.8,0.42369318
-1.15,1.6024119,-1.15,0.42669381
-1.5,1.4532984,-1.5,0.42221174
-1.85,1.3068636,-1.85,0.41350577
-2.2,1.1638443,-2.2,0.40340801
-2.55,1.024478,-2.55,0.3924213
-2.9,0.88914941,-2.9,0.37987318
-3.25,0.75856681,-3.25,0.3645168
-3.6,0.63398765,-3.6,0.34474923
-3.95,0.51724235,-3.95,0.32034401
-4.3,0.40974684,-4.3,0.29363036
-4.65,0.3117011,-4.65,0.26609728
-5,0.22347875,-5,0.25206387

