I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,2.2074038,2,0.1483897
1.65,2.1554675,1.65,0.17192365
1.3,2.0870573,1.3,0.213978
0.95,2.0056829,0.95,0.24674267
0.6,1.9143374,0.6,0.27335906
0.25,1.8143315,0.25,0.29533932
-0.1,1.7075999,-0.1,0.31227383
-0.45,1.5957398,-0.45,0.32567116
-0.8,1.4796301,-0.8,0.33589561
-1.15,1.3606129,-1.15,0.3410849
-1.5,1.2408707,-1.5,0.34047103
-1.85,1.1222832,-1.85,0.33625778
-2.2,1.0054902,-2.2,0.3309744
-2.55,0.89060111,-2.55,0.32523607
-2.9,0.77782497,-2.9,0.31858474
-3.25,0.66759179,-3.25,0.3101492
-3.6,0.56072052,-3.6,0.29838363
-3.95,0.45872325,-3.95,0.28152264
-4.3,0.36365467,-4.3,0.26016395
-4.65,0.27660849,-4.65,0.23695162
-5,0.19778854,-5,0.22519985

