I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,2.0188644,2,0.085489274
1.65,1.9889431,1.65,0.098361978
1.3,1.950011,1.3,0.12731443
0.95,1.899823,0.95,0.16361586
0.6,1.8354799,0.6,0.20238068
0.25,1.7581565,0.25,0.23594535
-0.1,1.6703181,-0.1,0.26523687
-0.45,1.5724907,-0.45,0.29252805
-0.8,1.4655485,-0.8,0.31396284
-1.15,1.3527168,-1.15,0.32381632
-1.5,1.2388771,-1.5,0.32045867
-1.85,1.1283957,-1.85,0.30980529
-2.2,1.0220134,-2.2,0.30055048
-2.55,0.91801034,-2.55,0.29488283
-2.9,0.81559539,-2.9,0.29024581
-3.25,0.71483827,-3.25,0.28517219
-3.6,0.61597486,-3.6,0.27899306
-3.95,0.51954313,-3.95,0.27084931
-4.3,0.42638034,-4.3,0.25991759
-4.65,0.33760082,-4.65,0.24560026
-5,0.25446016,-5,0.23754475

