I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,1.6752295,2,0.1599796
1.65,1.6192366,1.65,0.17903176
1.3,1.5499072,1.3,0.22028802
0.95,1.465035,0.95,0.25503396
0.6,1.3713834,0.6,0.27637446
0.25,1.2715729,0.25,0.29131915
-0.1,1.16746,-0.1,0.30269975
-0.45,1.059683,-0.45,0.31260707
-0.8,0.94863509,-0.8,0.32016584
-1.15,0.83556694,-1.15,0.3226311
-1.5,0.72279332,-1.5,0.3184096
-1.85,0.61268022,-1.85,0.30895743
-2.2,0.50652311,-2.2,0.29654567
-2.55,0.40509825,-2.55,0.28147214
-2.9,0.30949262,-2.9,0.26238501
-3.25,0.22142875,-3.25,0.23713984
-3.6,0.14349473,-3.6,0.202998
-3.95,0.079330149,-3.95,0.15656741
-4.3,0.033897541,-4.3,0.090444972
-4.65,0.016018668,-4.65,0.032923716
-5,0.01085094,-5,0.014764938

