I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,1.857709,2,0.23409739
1.93,1.8413221,1.93,0.24044339
1.86,1.8240469,1.86,0.253764
1.7433333,1.7936274,1.7433333,0.26835267
1.5748148,1.7471219,1.5748148,0.28366345
1.3313992,1.6762002,1.3313992,0.29977324
0.97979881,1.5678418,0.97979881,0.31720105
0.51099832,1.4149117,0.51099832,0.33493074
-0.11406899,1.20011,-0.11406899,0.34993814
-0.81406899,0.9507486,-0.81406899,0.35867238
-1.514069,0.69796868,-1.514069,0.35671131
-2.214069,0.45135276,-2.214069,0.32985594
-2.914069,0.23617036,-2.914069,0.26611751
-3.614069,0.078788251,-3.614069,0.15486158
-4.314069,0.019364155,-4.314069,0.04941907
-4.6570345,0.014580961,-4.6570345,0.010940963
-5,0.01185941,-5,0.007935351

