I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,2.4022934,2,0.27587627
1.65,2.3057367,1.65,0.2943596
1.3,2.1962417,1.3,0.32362152
0.95,2.0792017,0.95,0.34221601
0.6,1.9566905,0.6,0.35616069
0.25,1.8298892,0.25,0.36754122
-0.1,1.6994116,-0.1,0.37780327
-0.45,1.5654269,-0.45,0.38784121
-0.8,1.4279228,-0.8,0.39756653
-1.15,1.2871303,-1.15,0.40538602
-1.5,1.1441526,-1.5,0.40815986
-1.85,1.0014184,-1.85,0.40275827
-2.2,0.86222178,-2.2,0.3890289
-2.55,0.72909817,-2.55,0.37051451
-2.9,0.60286162,-2.9,0.35037885
-3.25,0.48383298,-3.25,0.32863097
-3.6,0.37281994,-3.6,0.3037241
-3.95,0.27122611,-3.95,0.27392885
-4.3,0.18106975,-4.3,0.23725523
-4.65,0.10514745,-4.65,0.18929524
-5,0.048563081,-5,0.16166963

