I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,1.369917,2,0.11081808
1.65,1.3311306,1.65,0.14686102
1.3,1.2671143,1.3,0.19952506
0.95,1.1914631,0.95,0.23100525
0.6,1.1054106,0.6,0.25696331
0.25,1.0115888,0.25,0.27728489
-0.1,0.91131116,-0.1,0.29342197
-0.45,0.80619339,-0.45,0.30376993
-0.8,0.6986722,-0.8,0.30641457
-1.15,0.59170319,-1.15,0.30139981
-1.5,0.48769234,-1.5,0.29062631
-1.85,0.38826477,-1.85,0.274946
-2.2,0.29523013,-2.2,0.25318636
-2.55,0.21103432,-2.55,0.22461782
-2.9,0.13799766,-2.9,0.18985337
-3.25,0.078136963,-3.25,0.14710661
-3.6,0.03502303,-3.6,0.087683628
-3.95,0.016758424,-3.95,0.034156172
-4.3,0.011113709,-4.3,0.0114702
-4.65,0.0087292836,-4.65,0.005547053
-5,0.0072307723,-5,0.0042814609

