I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,1.5701915,2,0.081224698
1.65,1.5417629,1.65,0.11586184
1.3,1.4890882,1.3,0.16839599
0.95,1.4238857,0.95,0.20108373
0.6,1.3483296,0.6,0.22928728
0.25,1.2633846,0.25,0.25780188
-0.1,1.1678683,-0.1,0.28633161
-0.45,1.0629525,-0.45,0.30659331
-0.8,0.95325299,-0.8,0.31278455
-1.15,0.84400328,-1.15,0.30624037
-1.5,0.73888473,-1.5,0.29353126
-1.85,0.6385314,-1.85,0.28161795
-2.2,0.54175217,-2.2,0.27181703
-2.55,0.44825947,-2.55,0.26146625
-2.9,0.35872579,-2.9,0.24855672
-3.25,0.27426977,-3.25,0.23156487
-3.6,0.19663039,-3.6,0.2086826
-3.95,0.12819195,-3.95,0.1778464
-4.3,0.072137903,-4.3,0.13655211
-4.65,0.032605477,-4.65,0.08128942
-5,0.01523531,-5,0.049629048

