I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,1.528067,2,0.009732049
1.65,1.5246608,1.65,0.052781821
1.3,1.4911198,1.3,0.10259456
0.95,1.4528446,0.95,0.12088431
0.6,1.4065008,0.6,0.14652675
0.25,1.3502759,0.25,0.17438188
-0.1,1.2844334,-0.1,0.20018688
-0.45,1.2101451,-0.45,0.22390702
-0.8,1.1276985,-0.8,0.24676564
-1.15,1.0374091,-1.15,0.26663708
-1.5,0.94105257,-1.5,0.2796194
-1.85,0.84167557,-1.85,0.28468186
-2.2,0.74177527,-2.2,0.28426802
-2.55,0.64268796,-2.55,0.28083573
-2.9,0.54519026,-2.9,0.27509141
-3.25,0.45012397,-3.25,0.26641141
-3.6,0.35870227,-3.6,0.25366572
-3.95,0.27255796,-3.95,0.2355518
-4.3,0.19381601,-4.3,0.21035745
-4.65,0.12530775,-4.65,0.17602883
-5,0.070595832,-5,0.15631977

