I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,1.3171021,2,0.20685309
1.65,1.2447035,1.65,0.22696031
1.3,1.1582299,1.3,0.25863106
0.95,1.0636618,0.95,0.27911837
0.6,0.96284705,0.6,0.29507521
0.25,0.85710916,0.25,0.30769279
-0.1,0.7474621,-0.1,0.3172685
-0.45,0.63502121,-0.45,0.32271754
-0.8,0.52155982,-0.8,0.32152121
-1.15,0.40995637,-1.15,0.31041896
-1.5,0.30426655,-1.5,0.28727095
-1.85,0.2088667,-1.85,0.25277859
-2.2,0.12732154,-2.2,0.2081594
-2.55,0.063155124,-2.55,0.1412007
-2.9,0.028481046,-2.9,0.064733508
-3.25,0.017841668,-3.25,0.021048028
-3.6,0.013747426,-3.6,0.0093562187
-3.95,0.011292315,-3.95,0.0061437875
-4.3,0.0094467749,-4.3,0.0048107972
-4.65,0.0079247569,-4.65,0.0039709911
-5,0.0066670811,-5,0.0035933594



