I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,1.9574496,2,0.22096357
1.65,1.8801124,1.65,0.23137875
1.3,1.7954845,1.3,0.25277804
0.95,1.7031677,0.95,0.27697666
0.6,1.6016008,0.6,0.30586171
0.25,1.4890645,0.25,0.33772445
-0.1,1.3651937,-0.1,0.36536394
-0.45,1.2333098,-0.45,0.37931727
-0.8,1.0996716,-0.8,0.37634496
-1.15,0.96986831,-1.15,0.36267469
-1.5,0.84579933,-1.5,0.34724514
-1.85,0.72679671,-1.85,0.33321302
-2.2,0.61255022,-2.2,0.31886106
-2.55,0.50359397,-2.55,0.30248518
-2.9,0.40081059,-2.9,0.28302278
-3.25,0.30547803,-3.25,0.25935271
-3.6,0.2192637,-3.6,0.23021531
-3.95,0.14432731,-3.95,0.19402523
-4.3,0.083446038,-4.3,0.14743595
-4.65,0.041122139,-4.65,0.088640197
-5,0.0213979,-5,0.056354969

