I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,1.7736037,2,0.20835979
1.65,1.7006778,1.65,0.21822484
1.3,1.6208463,1.3,0.23832657
0.95,1.5338492,0.95,0.26038423
0.6,1.4385774,0.6,0.28629765
0.25,1.3334408,0.25,0.31489708
-0.1,1.2181494,-0.1,0.3386077
-0.45,1.0964154,-0.45,0.34921126
-0.8,0.97370152,-0.8,0.34781491
-1.15,0.85294499,-1.15,0.34059236
-1.5,0.73528686,-1.5,0.33045621
-1.85,0.62162564,-1.85,0.31782326
-2.2,0.51281058,-2.2,0.30241871
-2.55,0.40993255,-2.55,0.28352388
-2.9,0.31434387,-2.9,0.2602527
-3.25,0.22775565,-3.25,0.23154686
-3.6,0.15226107,-3.6,0.19607593
-3.95,0.090502505,-3.95,0.15144291
-4.3,0.046251026,-4.3,0.094851825
-4.65,0.024106227,-4.65,0.041384304
-5,0.017282013,-5,0.019497755

