I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,2.1838929,2,0.078873078
1.93,2.1783718,1.93,0.08404956
1.8522222,2.171432,1.8522222,0.091655703
1.7658025,2.1633012,1.7658025,0.096768244
1.6601783,2.1527967,1.6601783,0.10308794
1.5428182,2.1402715,1.5428182,0.1129378
1.3732979,2.120073,1.3732979,0.13042229
1.1284354,2.0853775,1.1284354,0.15950862
0.77474503,2.0226599,0.77474503,0.19988237
0.26385896,1.9090178,0.26385896,0.24751114
-0.41732246,1.7233406,-0.41732246,0.29718625
-1.1173225,1.4980866,-1.1173225,0.32863365
-1.8173225,1.2632535,-1.8173225,0.32906644
-2.5173225,1.0373936,-2.5173225,0.31069839
-3.2173225,0.82827578,-3.2173225,0.29249718
-3.9173225,0.62789756,-3.9173225,0.27913517
-4.6173225,0.43748655,-4.6173225,0.26334695
-5,0.34002694,-5,0.25467816

