I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,1.9747431,2,0.16641545
1.65,1.9164977,1.65,0.19161118
1.3,1.8406153,1.3,0.23318501
0.95,1.7532682,0.95,0.2621885
0.6,1.6570834,0.6,0.28451191
0.25,1.5541099,0.25,0.30121619
-0.1,1.446232,-0.1,0.31287298
-0.45,1.3350988,-0.45,0.32059172
-0.8,1.2218178,-0.8,0.32637504
-1.15,1.1066363,-1.15,0.33177967
-1.5,0.98957206,-1.5,0.33558525
-1.85,0.87172661,-1.85,0.33449427
-2.2,0.75542607,-2.2,0.32699487
-2.55,0.6428302,-2.55,0.3152644
-2.9,0.534741,-2.9,0.30193991
-3.25,0.43147226,-3.25,0.28704979
-3.6,0.33380614,-3.6,0.26900437
-3.95,0.2431692,-3.95,0.24582807
-4.3,0.16172649,-4.3,0.21504289
-4.65,0.092639178,-4.65,0.1729566
-5,0.040656874,-5,0.14852087

