I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,0.80908942,2,-0.025718275
1.93,0.8108897,1.93,-0.010420659
1.86,0.81054831,1.86,0.013431473
1.79,0.80900929,1.79,0.032807414
1.72,0.80595528,1.72,0.062444888
1.6422222,0.79963498,1.6422222,0.10180723
1.5644444,0.7901186,1.5644444,0.13443809
1.4780247,0.77745614,1.4780247,0.15105182
1.4300137,0.76998655,1.4300137,0.15771464
1.3713336,0.76060664,1.3713336,0.16185028
1.3126536,0.75099177,1.3126536,0.16600404
1.2474535,0.740028,1.2474535,0.1712391
1.16052,0.72487355,1.16052,0.17950094
1.0446088,0.70346712,1.0446088,0.19271532
0.86430234,0.6672704,0.86430234,0.20885076
0.58382569,0.60642088,0.58382569,0.22474433
0.17869275,0.51221197,0.17869275,0.24021202
-0.36148449,0.37830972,-0.36148449,0.24692444
-1.0614845,0.20613554,-1.0614845,0.22089984
-1.7614845,0.069049939,-1.7614845,0.15508699
-2.1114845,0.029031845,-2.1114845,0.0746888
-2.5003734,0.015405105,-2.5003734,0.023092788
-2.8892623,0.011070787,-2.8892623,0.0085972448
-3.2781512,0.0087183589,-3.2781512,0.0049757302
-3.7966697,0.0066949135,-3.7966697,0.0033582954
-4.4966697,0.0047249512,-4.4966697,0.0024647668
-5,0.0036602557,-5,0.0021153017

