I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,0.96227032,2,0.072791536
1.65,0.93679328,1.65,0.12146775
1.3,0.87724289,1.3,0.18884269
0.95,0.8046034,0.95,0.22095351
0.6,0.72257544,0.6,0.24127809
0.25,0.63570873,0.25,0.25353155
-0.1,0.54510336,-0.1,0.2625509
-0.45,0.4519231,-0.45,0.26700354
-0.8,0.35820088,-0.8,0.26387633
-1.15,0.26720968,-1.15,0.25009712
-1.5,0.1831329,-1.5,0.22424829
-1.85,0.11023587,-1.85,0.1859663
-2.2,0.052956483,-2.2,0.12811145
-2.55,0.020557856,-2.55,0.057616064
-2.9,0.012625238,-2.9,0.015640641
-3.25,0.0096094076,-3.25,0.0068306195
-3.6,0.0078438045,-3.6,0.0043459863
-3.95,0.0065672171,-3.95,0.0033304798
-4.3,0.0055124687,-4.3,0.0027522367
-4.65,0.0046406514,-4.65,0.0023090385
-5,0.0038961417,-5,0.0021271707

