I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,1.602796,2,0.18311729
1.9825,1.5995915,1.9825,0.18357044
1.9611111,1.5956554,1.9611111,0.18465974
1.9278395,1.5894903,1.9278395,0.18628795
1.8760837,1.5797975,1.8760837,0.18850049
1.8243278,1.5699783,1.8243278,0.19096564
1.772572,1.5600303,1.772572,0.19392301
1.6863123,1.5431548,1.6863123,0.19848208
1.5521305,1.5161402,1.5521305,0.20557393
1.3583124,1.4754734,1.3583124,0.21576829
1.0783529,1.4134016,1.0783529,0.23037217
0.70507351,1.3241777,0.70507351,0.25319422
0.2073677,1.1911104,0.2073677,0.2862464
-0.4009394,1.0054967,-0.4009394,0.31641795
-1.1009394,0.77610366,-1.1009394,0.32336495
-1.8009394,0.5527858,-1.8009394,0.30410325
-2.5009394,0.3503591,-2.5009394,0.26498604
-3.2009394,0.18180535,-3.2009394,0.20430328
-3.9009394,0.064334511,-3.9009394,0.11304519
-4.6009394,0.023542082,-4.6009394,0.035744812
-5,0.018268605,-5,0.013214726

