I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,2.0487075,2,0.12091267
1.93,2.0402436,1.93,0.12706858
1.86,2.0309179,1.86,0.13857099
1.7666667,2.0174856,1.7666667,0.1503031
1.6525926,1.9996115,1.6525926,0.16465553
1.5004938,1.9733558,1.5004938,0.18522979
1.2807956,1.9298914,1.2807956,0.21144141
0.93904283,1.8529814,0.93904283,0.24038883
0.44539992,1.7267411,0.44539992,0.27569736
-0.21279062,1.5321387,-0.21279062,0.31199414
-0.91279062,1.3023108,-0.91279062,0.33206479
-1.6127906,1.067248,-1.6127906,0.33164028
-2.3127906,0.83801439,-2.3127906,0.32046072
-3.0127906,0.61860301,-3.0127906,0.29914262
-3.7127906,0.41921472,-3.7127906,0.26560124
-4.4127906,0.24676127,-4.4127906,0.22580604
-5,0.12623654,-5,0.20525

