I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,2.8106234,2,0.23067509
1.93,2.7944761,1.93,0.23284209
1.8522222,2.7761977,1.8522222,0.23803465
1.7139506,2.7428659,1.7139506,0.24601039
1.4834979,2.6850313,1.4834979,0.25889594
1.125016,2.5893771,1.125016,0.28037562
0.60720876,2.4371833,0.60720876,0.31903685
-0.083200901,2.1995762,-0.083200901,0.37327928
-0.7832009,1.9178928,-0.7832009,0.41204067
-1.4832009,1.6227192,-1.4832009,0.41216573
-2.1832009,1.3408608,-2.1832009,0.38825295
-2.8832009,1.0791651,-2.8832009,0.36798317
-3.0582009,1.0157949,-3.0582009,0.35946912
-3.3109787,0.92559804,-3.3109787,0.35277827
-3.6480157,0.80806188,-3.6480157,0.34236448
-4.0973984,0.6570714,-4.0973984,0.32622955
-4.5967126,0.49905656,-4.5967126,0.30484283
-5,0.38080386,-5,0.29322188

