I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,1.7107371,2,0.18212006
1.65,1.6469951,1.65,0.20309552
1.3,1.5685702,1.3,0.23315621
0.95,1.4837857,0.95,0.25107817
0.6,1.3928155,0.6,0.26846813
0.25,1.295858,0.25,0.28482307
-0.1,1.1934394,-0.1,0.29903691
-0.45,1.0865322,-0.45,0.30991397
-0.8,0.97649959,-0.8,0.31673739
-1.15,0.86481603,-1.15,0.31964057
-1.5,0.75275119,-1.5,0.31946684
-1.85,0.64118924,-1.85,0.31707083
-2.2,0.53080161,-2.2,0.31177139
-2.55,0.42294927,-2.55,0.30045678
-2.9,0.32048186,-2.9,0.2799175
-3.25,0.22700702,-3.25,0.2500137
-3.6,0.14547227,-3.6,0.21196508
-3.95,0.078631462,-3.95,0.1631218
-4.3,0.031287014,-4.3,0.091807387
-4.65,0.014366291,-4.65,0.030057509
-5,0.010246758,-5,0.011770094

