I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,1.6751061,2,0.24455562
1.65,1.5895116,1.65,0.26140591
1.3,1.4921219,1.3,0.28861948
0.95,1.387478,0.95,0.30696551
0.6,1.2772461,0.6,0.32117924
0.25,1.1626525,0.25,0.33218007
-0.1,1.04472,-0.1,0.3404293
-0.45,0.92435198,-0.45,0.34623455
-0.8,0.80235584,-0.8,0.34964435
-1.15,0.67960093,-1.15,0.3497068
-1.5,0.55756108,-1.5,0.34379578
-1.85,0.43894388,-1.85,0.32837878
-2.2,0.32769593,-2.2,0.30154652
-2.55,0.22786132,-2.55,0.26477073
-2.9,0.14235642,-2.9,0.22001042
-3.25,0.073854031,-3.25,0.15757976
-3.6,0.032050588,-3.6,0.078654687
-3.95,0.01879575,-3.95,0.025467246
-4.3,0.014223516,-4.3,0.010292282
-4.65,0.011591153,-4.65,0.0064583264
-5,0.0097026875,-5,0.0053956146

