I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,1.2684709,2,0.14955975
1.65,1.216125,1.65,0.17241198
1.3,1.1477825,1.3,0.2158024
0.95,1.0650633,0.95,0.24563596
0.6,0.97583733,0.6,0.26212591
0.25,0.88157516,0.25,0.27463052
-0.1,0.78359597,-0.1,0.28352517
-0.45,0.68310754,-0.45,0.28918372
-0.8,0.58116736,-0.8,0.29175535
-1.15,0.4788788,-1.15,0.2900687
-1.5,0.37811927,-1.5,0.28119621
-1.85,0.28204146,-1.85,0.26238938
-2.2,0.19444671,-2.2,0.23324556
-2.55,0.11876957,-2.55,0.1939343
-2.9,0.058692696,-2.9,0.13875742
-3.25,0.021639371,-3.25,0.06605965
-3.6,0.012450941,-3.6,0.017490185
-3.95,0.0093962417,-3.95,0.0068334088
-4.3,0.007667555,-4.3,0.0042455643
-4.65,0.0064243467,-4.65,0.0032447008
-5,0.0053962644,-5,0.0029373778

