I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,3.2519978,2,0.20922669
1.65,3.1787684,1.65,0.22344956
1.3,3.0955831,1.3,0.24995159
0.95,3.0038023,0.95,0.27284442
0.6,2.904592,0.6,0.29454691
0.25,2.7976195,0.25,0.31838001
-0.1,2.681726,-0.1,0.34493618
-0.45,2.5561642,-0.45,0.37197329
-0.8,2.4213447,-0.8,0.3955383
-1.15,2.2792874,-1.15,0.40965996
-1.5,2.1345827,-1.5,0.41047798
-1.85,1.9919528,-1.85,0.40367755
-2.2,1.8520084,-2.2,0.39761295
-2.55,1.7136237,-2.55,0.39351831
-2.9,1.5765456,-2.9,0.38915791
-3.25,1.4412132,-3.25,0.38374116
-3.6,1.3079268,-3.6,0.37757039
-3.95,1.1769139,-3.95,0.37068019
-4.3,1.0484507,-4.3,0.36290025
-4.65,0.92288372,-4.65,0.35416454
-5,0.8005355,-5,0.34956634

