I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,1.8246355,2,0.15354526
1.93,1.8138873,1.93,0.15644794
1.86,1.8027328,1.86,0.16206965
1.7744444,1.7886342,1.7744444,0.16834389
1.6698765,1.7706591,1.6698765,0.17872504
1.5304527,1.7447888,1.5304527,0.20166772
1.3135711,1.6975554,1.3135711,0.23202375
0.97619977,1.6144733,0.97619977,0.26099566
0.48888561,1.480107,0.48888561,0.28796931
-0.16086659,1.2850447,-0.16086659,0.30674453
-0.51086659,1.1753971,-0.51086659,0.31771987
-0.97753325,1.0250553,-0.97753325,0.32591507
-1.5997555,0.81992788,-1.5997555,0.32486343
-2.2997555,0.59588745,-2.2997555,0.30762247
-2.9997555,0.38925642,-2.9997555,0.27734031
-3.6997555,0.20761101,-3.6997555,0.22884847
-4.3997555,0.068868569,-4.3997555,0.14299609
-5,0.016173888,-5,0.087788691

