I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,1.8346982,2,0.15774467
1.65,1.7794875,1.65,0.1662263
1.3,1.7183398,1.3,0.18441565
0.95,1.6503966,0.95,0.2038234
0.6,1.5756634,0.6,0.22400812
0.25,1.4935909,0.25,0.24555405
-0.1,1.4037756,-0.1,0.2679114
-0.45,1.3060529,-0.45,0.28931603
-0.8,1.2012543,-0.8,0.30758553
-1.15,1.0907431,-1.15,0.32135266
-1.5,0.97630747,-1.5,0.32954177
-1.85,0.86006382,-1.85,0.33183112
-2.2,0.74402569,-2.2,0.32832694
-2.55,0.63023496,-2.55,0.31922209
-2.9,0.52057022,-2.9,0.30509383
-3.25,0.41666928,-3.25,0.2863391
-3.6,0.32013285,-3.6,0.26271962
-3.95,0.23276555,-3.95,0.23331863
-4.3,0.15680981,-4.3,0.19617076
-4.65,0.09544601,-4.65,0.14784812
-5,0.053316128,-5,0.12037109

