I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,2.0373459,2,0.13720068
1.65,1.9893256,1.65,0.14192733
1.3,1.9379967,1.3,0.15278065
0.95,1.8823792,0.95,0.16670631
0.6,1.8213023,0.6,0.18456356
0.25,1.7531847,0.25,0.20620861
-0.1,1.6769563,-0.1,0.23004056
-0.45,1.5921563,-0.45,0.25325436
-0.8,1.4996782,-0.8,0.27352553
-1.15,1.4006884,-1.15,0.29135996
-1.5,1.2957263,-1.5,0.30768532
-1.85,1.1853087,-1.85,0.3214871
-2.2,1.0706853,-2.2,0.33182733
-2.55,0.95302956,-2.55,0.33827936
-2.9,0.83388975,-2.9,0.33461434
-3.25,0.71879952,-3.25,0.30527185
-3.6,0.62019945,-3.6,0.28209578
-3.95,0.52133248,-3.95,0.28361996
-4.3,0.42166548,-4.3,0.27697643
-4.65,0.32744898,-4.65,0.25493881
-5,0.24320831,-5,0.2406876

