I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,2.3998932,2,0.21596359
1.65,2.324306,1.65,0.2266682
1.3,2.2412255,1.3,0.24728606
0.95,2.1512057,0.95,0.26738444
0.6,2.0540564,0.6,0.28951299
0.25,1.9485466,0.25,0.31513798
-0.1,1.8334598,-0.1,0.34058951
-0.45,1.710134,-0.45,0.35892515
-0.8,1.5822122,-0.8,0.36839344
-1.15,1.4522586,-1.15,0.37194691
-1.5,1.3218493,-1.5,0.37130233
-1.85,1.1923469,-1.85,0.36730551
-2.2,1.0647355,-2.2,0.36109474
-2.55,0.93958063,-2.55,0.35325074
-2.9,0.81745996,-2.9,0.34357298
-3.25,0.69907954,-3.25,0.33159537
-3.6,0.5853432,-3.6,0.31700729
-3.95,0.47717444,-3.95,0.2995615
-4.3,0.37565015,-4.3,0.27868899
-4.65,0.28209215,-4.65,0.25350834
-5,0.19819431,-5,0.23970809

