I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,1.4162468,2,0.16409973
1.65,1.3588119,1.65,0.1864606
1.3,1.2857244,1.3,0.2246524
0.95,1.2015553,0.95,0.24978208
0.6,1.110877,0.6,0.26697409
0.25,1.0146734,0.25,0.280968
-0.1,0.91419936,-0.1,0.29121235
-0.45,0.81082475,-0.45,0.29770169
-0.8,0.70580818,-0.8,0.30097969
-1.15,0.60013897,-1.15,0.30149027
-1.5,0.49476499,-1.5,0.29816975
-1.85,0.39142015,-1.85,0.28797701
-2.2,0.29318108,-2.2,0.26811486
-2.55,0.20373975,-2.55,0.23842687
-2.9,0.12628227,-2.9,0.19940145
-3.25,0.064158736,-3.25,0.14635196
-3.6,0.023835905,-3.6,0.073210624
-3.95,0.012911299,-3.95,0.020323051
-4.3,0.0096097695,-4.3,0.0073010539
-4.65,0.0078005614,-4.65,0.004393003
-5,0.0065346674,-5,0.0036168401

