I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,1.8371161,2,0.23582279
1.65,1.7545781,1.65,0.25356337
1.3,1.6596217,1.3,0.28404474
0.95,1.5557468,0.95,0.30778557
0.6,1.4441718,0.6,0.3283448
0.25,1.3259054,0.25,0.34671714
-0.1,1.2014698,-0.1,0.36297785
-0.45,1.0718209,-0.45,0.37454926
-0.8,0.93928533,-0.8,0.37792009
-1.15,0.80727685,-1.15,0.37166512
-1.5,0.67911975,-1.5,0.35778353
-1.85,0.55682838,-1.85,0.33927428
-2.2,0.44162775,-2.2,0.31692211
-2.55,0.3349829,-2.55,0.28947216
-2.9,0.23899724,-2.9,0.2553329
-3.25,0.15624987,-3.25,0.21391868
-3.6,0.089254161,-3.6,0.16171505
-3.95,0.043049338,-3.95,0.094480997
-4.3,0.023117463,-4.3,0.03866379
-4.65,0.015984685,-4.65,0.014951792
-5,0.012651209,-5,0.0095242173

