I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,2.8172653,2,0.18665319
1.65,2.7519366,1.65,0.19960149
1.3,2.6775442,1.3,0.22618759
0.95,2.5936053,0.95,0.25171502
0.6,2.5013437,0.6,0.27319913
0.25,2.4023659,0.25,0.28995438
-0.1,2.2983756,-0.1,0.30342688
-0.45,2.1899671,-0.45,0.31804416
-0.8,2.0757447,-0.8,0.33632064
-1.15,1.9545427,-1.15,0.35541909
-1.5,1.8269513,-1.5,0.37080035
-1.85,1.6949824,-1.85,0.37986993
-2.2,1.5610424,-2.2,0.3825931
-2.55,1.4271673,-2.55,0.38060923
-2.9,1.2946159,-2.9,0.37586806
-3.25,1.1640596,-3.25,0.36950881
-3.6,1.0359598,-3.6,0.36189062
-3.95,0.91073618,-3.95,0.35316742
-4.3,0.78874257,-4.3,0.34317249
-4.65,0.67051543,-4.65,0.33020482
-5,0.5575992,-5,0.32261782

