I<suv>d</sub> V<sub>d</sub> = 10.0 V X,I<suv>d</sub> V<sub>d</sub> = 10.0 V Y,g<sub>m</sub> V<sub>d</sub> = 10.0 V X,g<sub>m</sub> V<sub>d</sub> = 10.0 V Y
2,2.0088226,2,0.1850292
1.65,1.9440624,1.65,0.19418039
1.3,1.8728963,1.3,0.21205228
0.95,1.7956258,0.95,0.22919651
0.6,1.7124587,0.6,0.24627544
0.25,1.623233,0.25,0.2649609
-0.1,1.5269861,-0.1,0.28615282
-0.45,1.422926,-0.45,0.30786852
-0.8,1.3114782,-0.8,0.32704036
-1.15,1.1939977,-1.15,0.34067268
-1.5,1.0730073,-1.5,0.3467047
-1.85,0.95130444,-1.85,0.34577319
-2.2,0.83096604,-2.2,0.33982829
-2.55,0.71342464,-2.55,0.3301321
-2.9,0.59987358,-2.9,0.31709179
-3.25,0.49146038,-3.25,0.30068522
-3.6,0.38939392,-3.6,0.28052557
-3.95,0.29509248,-3.95,0.25585626
-4.3,0.21029454,-4.3,0.22535011
-4.65,0.1373474,-4.65,0.18695776
-5,0.079424105,-5,0.16549512

