I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,1.4639207,2,-0.075254604
1.65,1.4902598,1.65,-0.0054541041
1.3,1.4677386,1.3,0.070426383
0.95,1.4409613,0.95,0.07762036
0.6,1.4134043,0.6,0.081761691
0.25,1.3837282,0.25,0.090301712
-0.1,1.3501931,-0.1,0.10355359
-0.45,1.3112406,-0.45,0.12139423
-0.8,1.2652172,-0.8,0.14496944
-1.15,1.209762,-1.15,0.17525784
-1.5,1.1425367,-1.5,0.20966199
-1.85,1.0629986,-1.85,0.24220047
-2.2,0.97299634,-2.2,0.26741356
-2.55,0.87580915,-2.55,0.28345808
-2.9,0.77457568,-2.9,0.29411799
-3.25,0.66992656,-3.25,0.29487477
-3.6,0.56816334,-3.6,0.27802693
-3.95,0.4753077,-3.95,0.26439122
-4.3,0.38308949,-4.3,0.26131513
-4.65,0.29238711,-4.65,0.24752021
-5,0.20982534,-5,0.23589077

