train loss,test loss
0.3450324445178634,0.15532948672771454
0.04949825894283621,0.08713604360818863
0.025812087221103803,0.07391105517745018
0.01808482065404716,0.07765550315380096
0.015309162633983712,0.08857672214508057
0.013159189961458507,0.08262419030070305
0.01063290669729835,0.07872516065835952
0.010296895756925406,0.07598952949047089
0.009564111020132812,0.0779104396700859
0.007612894514673635,0.07593941465020179
0.006748611062907716,0.09904552400112152
0.006756879421964027,0.07817608937621116
0.005691736936569214,0.08179929777979851
0.005448191825832639,0.07407203167676926
0.004831298427623615,0.0736229419708252
0.004629964450080144,0.07458115443587303
0.004146542250187404,0.08011911362409592
0.004159434257369293,0.07470032945275307
0.003876918261236101,0.07704859524965287
0.0036635896877238623,0.08649839162826538
0.0033518249603142415,0.08433641642332076
0.003368116754806783,0.07618130072951317
0.0033959844394734033,0.07921908646821976
0.003431466064955059,0.0784806415438652
0.003153024629542702,0.09516477286815643
0.0031940893228599417,0.07963698357343674
0.002637441976260953,0.08430136740207672
0.002877213011838888,0.09399307668209075
0.0027736914758240893,0.09669397920370101
0.0025792745317806277,0.0728977270424366
0.0022549924894484275,0.07524145767092705
0.0022435402497649193,0.07316656261682511
0.002103537832055556,0.08268480747938156
0.0020703510165030006,0.07515079081058502
0.0020619885589843404,0.08194918036460877
0.0021235107918057524,0.0865275003015995
0.0019723645399508743,0.07251015454530715
0.0018513456471986717,0.08423353731632233
0.0019343895498316298,0.07690577432513238
0.001810626528765026,0.09632711410522461
0.0017703515746474113,0.07744756937026978
0.0019146892099750968,0.07382837831974029
0.0019278069376726628,0.08124669119715691
0.0016492882110713202,0.07969141229987145
0.0016583348836815147,0.07678002491593361
0.0015968831439312863,0.08055346831679344
0.0015190141056513065,0.08065837770700454
0.0014876278297027998,0.07328299432992935
0.001486558555180225,0.0725510522723198
0.001396825568456399,0.07731944173574448
0.0014576910888262947,0.07342408746480941
0.0014411374768204535,0.07413281053304673
0.0014295365472713553,0.07507398054003715
0.0013373643522955057,0.073615925014019
0.001296092484271127,0.07274714186787605
0.0012880821285167134,0.07486307471990586
0.0012378500961971195,0.08002603650093079
0.0012308253573689832,0.08688778728246689
0.0014338745809526555,0.08159159272909164
0.0012339178766859204,0.07509098201990128
0.0012796295194455116,0.08464556112885475
0.0012568284382692622,0.07541595697402954
0.0011520306443610386,0.07501937299966813
0.001163904925832819,0.07318046316504478
0.0011151590840777887,0.07540453597903252
0.0011094031793078738,0.07719908356666565
0.0010785839468451437,0.08178601264953614
0.0010377565577580094,0.07550677955150605
0.0011026890739559854,0.07642644792795181
0.0010056925475373305,0.07963041067123414
0.0010728628807504413,0.07831747084856033
0.0010306903117537848,0.0761687070131302
0.0009755320261516585,0.08113127052783967
0.0010110670501951812,0.07282972559332848
0.0009500723475949806,0.07450896054506302
0.0009314941649952094,0.07776268646121025
0.0009325353412170241,0.08767217844724655
0.0009058304407537064,0.07832269817590713
0.0009481092042560819,0.084824138879776
0.000915739035822059,0.07371966391801835
0.0008705090210955201,0.07299307510256767
0.0008978052770142684,0.07365115880966186
0.0009038811886166952,0.08306326493620872
0.0008801407505172237,0.07449187412858009
0.0008283540583431905,0.07375120371580124
0.0008038291149069367,0.07486265376210213
0.0008129433689878986,0.08190463930368423
0.0008101966900474718,0.0781372256577015
0.0007846367686969299,0.07336318120360374
0.000801043998863962,0.0726110465824604
0.0007712707750848292,0.07765567898750306
0.0008081237229282032,0.075278040766716
0.0007828544671412707,0.07962040454149247
0.0007525506196804303,0.07218542769551277
0.0007427789023213109,0.08904361724853516
0.0007500595846131706,0.07598942369222642
